pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,role_key,sp_indicator,rp_indicator,pitch_number_appearance,pitcher_at_bat_number,times_faced
FF,4/5/2021,93.2,0.84,5.74,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,strikeout,swinging_strike,13,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,S,2,,3,2,2021,0.43,1.57,-0.05,1.41,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-3.263175921,-135.5206003,-8.932597792,5.954448107,28.04304905,-11.14822322,3.41,1.56,,,,94.6,2351,7,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.47,,,0,1,0,0,,47,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,166,-0.014,-0.134,SP,1,0,97,22,3
SL,4/5/2021,82.9,1.03,5.69,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,foul,5,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,S,,,3,2,2021,-0.42,-0.34,0.09,2.24,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-1.343797035,-120.7390907,-0.762146636,-3.829421491,23.12634652,-35.60408089,3.41,1.56,180,65.7,27,83.9,2408,6.8,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.66,,,,,,,,47,6,Slider,0,2,0,2,2,0,0,2,Infield shift,Standard,309,0,0,SP,1,0,96,22,3
FF,4/5/2021,94.6,-1.85,5.77,514eeb6e6c17085fc1adabf03f1adca32318411f,afb9b85defc6fe5c3f48681480eff4d96ab723c7,caught_stealing_3b,ball,14,R,R,R,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,B,2,,2,2,2021,-0.56,1.53,2.01,1.92,,c8f1ff43c331519aab03daab36b84b55edbb3e58,,2,4,Top,,,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,,11.29211874,-137.1737065,-7.760459239,-9.543945052,29.48728628,-11.17994422,3.26,1.45,,,,94.5,2264,6.4,634612,afb9b85defc6fe5c3f48681480eff4d96ab723c7,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,a9b53974ac34cd7c03133051645ef424e81c3073,c3b12c33078b6ce2f0c8287913cd6871b9ba9c9c,88a241e142df6a547f9188eb81f5c2ea8f7adabb,c1efd3145c820257fae2347ff5675817cfb37bca,4f6c643961e8df8f6d76d136b13ba2674b158140,a7ab335ba29a72bc194f77b694f23bd2eea9c4da,ccbeebb83e2f368d70aca48df9d3cab30efa80cf,54.12,,,0,0,0,0,,28,6,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,220,0.014,-0.202,SP,1,0,95,19,3
FF,4/5/2021,97.1,1.86,6.57,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,0f061b9439845159c394a71e55d635b10ca25656,field_out,hit_into_play,13,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,X,7,line_drive,3,2,2021,0.75,1.56,-0.84,2.21,,,29df9634e71f12ec4754b370e647db4bdfedd12b,2,5,Bot,90.32,88.66,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,,-8.928735216,-140.7801541,-9.630044206,12.06754039,33.37716424,-9.355497484,3.49,1.6,288,81.5,26,96.8,2257,6.4,634551,0f061b9439845159c394a71e55d635b10ca25656,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,80f3a94c7bf1ed6397017744dbb75ff931902e2d,121048ecdf300d2ec18b79f9632d2e0e4ecb925e,0f46bb1ed363d593af42cfddbe027922aff10780,47a816f9460d1e5742d9b2e7aa73e35466ab714f,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,bc3c71dc19d09389180e0fcbdc14205e7da08a90,09e6f8d367dd945ef1b220557afde3b68449e875,54.08,0.234,0.211,0,1,0,0,3,48,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,147,-0.007,-0.264,SP,1,0,95,22,3
FF,4/5/2021,93.6,0.6,5.85,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,ball,11,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,B,,,2,2,2021,0.37,1.53,-1.5,3.27,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-6.325446651,-136.1414404,-4.315313001,6.067006658,30.70870064,-12.46112266,3.21,1.56,,,,94.8,2233,7.1,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.45,,,,,,,,47,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,164,0,0.043,SP,1,0,95,22,3
SL,4/5/2021,84.4,-2.04,5.76,514eeb6e6c17085fc1adabf03f1adca32318411f,afb9b85defc6fe5c3f48681480eff4d96ab723c7,,foul,12,R,R,R,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,S,,,2,2,2021,0.39,0.12,0.94,2.59,,c8f1ff43c331519aab03daab36b84b55edbb3e58,,2,4,Top,,,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,,6.146960225,-122.9517398,-1.317589937,2.887838493,22.52169231,-30.87427876,3.37,1.53,190,71,49,84.6,2509,6.2,634612,afb9b85defc6fe5c3f48681480eff4d96ab723c7,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,a9b53974ac34cd7c03133051645ef424e81c3073,c3b12c33078b6ce2f0c8287913cd6871b9ba9c9c,88a241e142df6a547f9188eb81f5c2ea8f7adabb,c1efd3145c820257fae2347ff5675817cfb37bca,4f6c643961e8df8f6d76d136b13ba2674b158140,a7ab335ba29a72bc194f77b694f23bd2eea9c4da,ccbeebb83e2f368d70aca48df9d3cab30efa80cf,54.32,,,,,,,,28,5,Slider,0,4,4,0,4,0,4,0,Standard,Standard,57,0,0,SP,1,0,94,19,3
CU,4/5/2021,76.8,0.55,5.78,c7c83eaa9fe8da2f81c5fce172059af61448b3e7,4f902241478a103f7a818f5be9a7b7ddf43cabb9,,ball,13,R,L,L,e58e9c0fd276f0c175345b6d952a9e77bf4992fb,ae2caea4bb1f46b714e35f0176994fd5cf88e76d,B,,,1,2,2021,-0.52,-1.32,-1.01,0.03,,,,2,6,Bot,,,55bd3201fa7465188c2c70169f2e9407efe89cba,,-2.395377076,-111.7227677,-2.691276241,-3.793686961,23.09907836,-42.80111265,3.18,1.49,,,,77.5,2384,7.1,634616,4f902241478a103f7a818f5be9a7b7ddf43cabb9,55bd3201fa7465188c2c70169f2e9407efe89cba,c04bfbc3f42ec36472468471b3a7163f39671a33,7694076619c298b4556297b20afaf8eb50461cdf,17cbce1de7a9d4e31952e86ba69ced3fa5f1c28c,b135b247f1afd053b201fc7c434493408c5dcf69,fa9c99ce9acb5fd5971e8fb834d745a33b714f76,53dfe414229803162d14787d30fbf47a1b5e46ea,9b52235d7b694738421b6c2ed9271edb04553492,53.36,,,,,,,,47,4,Curveball,0,2,0,2,2,0,0,2,Infield shift,Standard,349,0,0.018,SP,1,0,94,22,3
FF,4/5/2021,94.8,1.96,6.56,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,0f061b9439845159c394a71e55d635b10ca25656,,foul,6,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,S,,,3,1,2021,0.83,1.58,0.62,2.31,,,29df9634e71f12ec4754b370e647db4bdfedd12b,2,5,Bot,,,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,,-5.343168586,-137.7594897,-8.965759085,11.70091382,29.61876808,-10.26324124,3.49,1.6,245,85,56,94.9,2261,6.3,634551,0f061b9439845159c394a71e55d635b10ca25656,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,80f3a94c7bf1ed6397017744dbb75ff931902e2d,121048ecdf300d2ec18b79f9632d2e0e4ecb925e,0f46bb1ed363d593af42cfddbe027922aff10780,47a816f9460d1e5742d9b2e7aa73e35466ab714f,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,bc3c71dc19d09389180e0fcbdc14205e7da08a90,09e6f8d367dd945ef1b220557afde3b68449e875,54.16,,,,,,,,48,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,149,0,-0.069,SP,1,0,94,22,3
SL,4/5/2021,84.7,-2.09,5.65,514eeb6e6c17085fc1adabf03f1adca32318411f,afb9b85defc6fe5c3f48681480eff4d96ab723c7,,blocked_ball,14,R,R,R,3c4ec083bb4b200556718068a3cea7ab07ff2764,284da2e9c8943a9faa155f56f0faaa7791471528,B,,,1,2,2021,0.16,0.39,0.54,0.72,,c8f1ff43c331519aab03daab36b84b55edbb3e58,,2,4,Top,,,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,,5.840443049,-123.1423159,-5.951731326,0.428170388,24.55696585,-27.20624605,3.26,1.51,,,,84.6,2509,6.3,634612,afb9b85defc6fe5c3f48681480eff4d96ab723c7,3103eeddc91e18c223c7ef4d3c12f29cd6e5bdd8,a9b53974ac34cd7c03133051645ef424e81c3073,c3b12c33078b6ce2f0c8287913cd6871b9ba9c9c,88a241e142df6a547f9188eb81f5c2ea8f7adabb,c1efd3145c820257fae2347ff5675817cfb37bca,4f6c643961e8df8f6d76d136b13ba2674b158140,a7ab335ba29a72bc194f77b694f23bd2eea9c4da,ccbeebb83e2f368d70aca48df9d3cab30efa80cf,54.23,,,,,,,,28,4,Slider,0,4,4,0,4,0,4,0,Infield shade,Standard,73,0,0.045,SP,1,0,93,19,3
FF,4/5/2021,95.4,1.94,6.53,875eeca87c6f80182a88c2a7b92c048b9e10b5e5,0f061b9439845159c394a71e55d635b10ca25656,,called_strike,7,R,R,L,8499d67c7ea3ce9671a0574ff233641a96d9039a,febb17c5596d048b6a6a4eea23cfe03be0f1a600,S,,,3,0,2021,0.7,1.54,-0.56,1.75,,,29df9634e71f12ec4754b370e647db4bdfedd12b,2,5,Bot,,,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,,-8.158044917,-138.453446,-10.38580495,10.82816857,30.28193352,-10.21383195,3.49,1.69,,,,95.5,2245,6.4,634551,0f061b9439845159c394a71e55d635b10ca25656,c4db34402ba417ae6cc0cf8eca1c05a59b5940bf,80f3a94c7bf1ed6397017744dbb75ff931902e2d,121048ecdf300d2ec18b79f9632d2e0e4ecb925e,0f46bb1ed363d593af42cfddbe027922aff10780,47a816f9460d1e5742d9b2e7aa73e35466ab714f,8b56a85ee94ae8780f6ded359e6dfe292bacf2f3,bc3c71dc19d09389180e0fcbdc14205e7da08a90,09e6f8d367dd945ef1b220557afde3b68449e875,54.06,,,,,,,,48,4,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,147,0,-0.048,SP,1,0,93,22,3
